"Stotelės Nr.","Pavadinimas","Lng","Lat"
"0101","Žaliasis tiltas","25.28048","54.69236"
"0101a","Žaliasis tiltas","25.28072","54.69272"
"0102","Žaliasis tiltas","25.28003","54.69234"
"0103","Europos aikštė","25.27698","54.69544"
"0104","Europos aikštė","25.27743","54.69564"
"0105","Lietuvos sąjūdžio kelias","25.2663","54.69825"
"0106","Lietuvos sąjūdžio kelias","25.2665","54.69853"
"0107","Saltoniškės","25.26438","54.70239"
"0108","Studentų st.","25.2643","54.69724"
"0109","Lvovo st.","25.28276","54.69448"
"0110","Lvovo st.","25.28387","54.69457"
"0111","„Žalgirio“ stadionas","25.28954","54.69477"
"0112","Šeimyniškių st.","25.29687","54.69556"
"0113","Nacionalinė dailės galerija","25.27311","54.69671"
"0114","Nacionalinė dailės galerija","25.27115","54.69768"
"0115","Šnipiškės","25.26892","54.69983"
"0120","Baltasis tiltas","25.27478","54.69387"
"0201","Karaliaus Mindaugo tiltas","25.28741","54.68858"
"0202","Karaliaus Mindaugo tiltas","25.28663","54.68867"
"0203","Arkikatedra","25.28644","54.68665"
"0207","Jogailos st.","25.27821","54.68526"
"0210","Vinco Kudirkos aikštė","25.2798","54.68753"
"0210a","Vinco Kudirkos aikštė","25.27985","54.68775"
"0211","Vinco Kudirkos aikštė","25.27982","54.68871"
"0212","Islandijos st.","25.27641","54.685"
"0213","Islandijos st.","25.2764","54.68485"
"0214","Juozo Tumo-Vaižganto st.","25.26799","54.68835"
"0215","Pamėnkalnio st.","25.26934","54.68736"
"0216","Pamėnkalnio st.","25.26659","54.68784"
"0217","Jokūbo Jasinskio st.","25.26352","54.68828"
"0218","Jokūbo Jasinskio st.","25.26329","54.68812"
"0219","Gedimino prospektas","25.26261","54.68909"
"0220","Gedimino prospektas","25.26208","54.68894"
"0221","Alberto Goštauto st.","25.26747","54.69456"
"0222","Kražių st.","25.27019","54.69324"
"0223","Vašingtono aikštė","25.26987","54.6916"
"0224","Kražių st.","25.27091","54.69179"
"0225","Kražių st.","25.27116","54.69172"
"0226","Juozo Tumo-Vaižganto st.","25.26922","54.68958"
"0227","Gynėjų st.","25.26557","54.69349"
"0228","Čiuožykla","25.27005","54.68881"
"0230","Lukiškių aikštė","25.27097","54.68856"
"0230a","Lukiškės","25.27045","54.69056"
"0230b","A.Jakšto st.","25.27536","54.68837"
"0231","Lukiškės","25.27072","54.6909"
"0232","Operos ir baleto teatras","25.27574","54.69123"
"0233","Operos ir baleto teatras","25.27732","54.69081"
"0235","Centro poliklinika","25.27701","54.68371"
"0236","Lukiškės","25.27231","54.69037"
"0237","Antano Tumėno st.","25.26124","54.69225"
"0238","Nepriklausomybės aikštė","25.26522","54.68951"
"0239","Nepriklausomybės aikštė","25.26423","54.68977"
"0240","Mažasis teatras","25.27632","54.68775"
"0241","Mažasis teatras","25.27699","54.68753"
"0242","Kalėdų miestelis","25.28583","54.68567"
"0243","Kalėdų miestelis","25.2848","54.68625"
"0244","Vokiečių st.","25.28317","54.68047"
"0245","Vokiečių st.","25.28274","54.68057"
"0246","Rotušė","25.28604","54.67848"
"0247","Rotušė","25.28634","54.67823"
"0248","Reformatų st.","25.27735","54.68203"
"0249","Tilto st.","25.28149","54.68936"
"0250","Ledainė","25.28932","54.6832"
"0251","Ledainė","25.28921","54.68324"
"0260A","Bernardinų sodas","25.28954","54.68456"
"0260c","Bernardinų sodas","25.28949","54.68461"
"0301","Liubarto tiltas","25.25691","54.68893"
"0302","Liubarto tiltas","25.25574","54.68908"
"0303","Kęstučio st.","25.2519","54.68948"
"0304","Kęstučio st.","25.25158","54.69121"
"0305","Vytauto st.","25.25643","54.69117"
"0306","Vytauto st.","25.25622","54.69173"
"0307","Latvių st.","25.25072","54.69385"
"0308","Latvių st.","25.25075","54.69433"
"0309","Džocharo Dudajevo skv.","25.25609","54.69583"
"0310","Džocharo Dudajevo skv.","25.25585","54.69585"
"0311","Sėlių st.","25.24977","54.69744"
"0312","Sėlių st.","25.24868","54.6984"
"0313","Žvėrynas","25.24565","54.69872"
"0314","Žvėrynas","25.24499","54.69938"
"0315","Žvėrynas","25.2432","54.69948"
"0316","Panorama","25.25607","54.69892"
"0317","Panorama","25.25704","54.69915"
"0318","Lietuvos edukologijos universitetas","25.26121","54.6983"
"0319","Lietuvos edukologijos universitetas","25.26133","54.6987"
"0320","Studentų st.","25.26327","54.69729"
"0321","Saltoniškės","25.26289","54.70123"
"0401","Šv. Petro ir Povilo bažnyčia","25.30313","54.69301"
"0401a","Šv. Petro ir Povilo bažnyčia","25.30353","54.69382"
"0402","Šv. Petro ir Povilo bažnyčia","25.30315","54.69275"
"0402a","ŠV. Petro ir Povilo bažnyčia","25.3035","54.69397"
"0403","Kalnų parkas","25.2945","54.68938"
"0404","Kalnų parkas","25.29581","54.68965"
"0405","Arkikatedra","25.28675","54.68667"
"0406","Reformatų st.","25.2774","54.68149"
"0407","Reformatų st.","25.27731","54.68117"
"0408","Trakų st.","25.27628","54.68004"
"0409","Trakų st.","25.27802","54.67934"
"0410","Trakų st.","25.27855","54.67902"
"0411","Vingriai","25.28086","54.67665"
"0412","Gėlių st.","25.28366","54.67424"
"0413","Rūdninkų st.","25.28492","54.67454"
"0414","Aguonų st.","25.27736","54.67284"
"0415","Aguonų st.","25.27852","54.67263"
"0416","Aušros vartai","25.28949","54.67368"
"0417","Aušros vartai","25.29278","54.67473"
"0418","Gervėčių st.","25.29728","54.6746"
"0419","Gervėčių st.","25.29882","54.67336"
"0420","Misionierių st.","25.29735","54.6766"
"0421","Misionierių st.","25.29652","54.67662"
"0422","Subačiaus st.","25.30362","54.67701"
"0423","Subačiaus st.","25.30249","54.67723"
"0424","„Audėjas“","25.31053","54.67839"
"0425","Paupys","25.29888","54.67902"
"0426","Užupio st.","25.29266","54.67991"
"0427","Užupio st.","25.29236","54.67994"
"0428","Vilnios st.","25.29365","54.68024"
"0429","Dailės akademija","25.29297","54.68212"
"0430","Dailės akademija","25.29287","54.68401"
"0431","Bernardinų sodas","25.29025","54.68472"
"0432","Bernardinų sodas","25.2911","54.68497"
"0433","Užupis","25.30076","54.68121"
"0434","Bernardinų kapinės","25.30538","54.68145"
"0435","Bernardinų st.","25.31198","54.682"
"0436","Polocko st.","25.31266","54.6827"
"0437","Filaretų st.","25.30917","54.68473"
"0438","Krivių st.","25.30562","54.6873"
"0439","Vasaros st.","25.30471","54.6913"
"0441","Karaliaus Mindaugo tiltas","25.289","54.68822"
"0443","Gervėčių st.","25.29923","54.6739"
"0444","Gervėčių st.","25.29757","54.67365"
"0445","Ramybės st.","25.29905","54.67203"
"0446","Bazilijonų st.","25.28595","54.67442"
"0447","Valstybinis Jaunimo teatras","25.28754","54.67671"
"0448","Polocko st.","25.31316","54.68183"
"0501","Algirdo st.","25.2682","54.68197"
"0502","Algirdo st.","25.2664","54.68145"
"0503","Mikalojaus Konstantino Čiurlionio st.","25.26526","54.68203"
"0504","Mikalojaus Konstantino Čiurlionio st.","25.26548","54.68082"
"0505","Mikalojaus Konstantino Čiurlionio st.","25.26471","54.6816"
"0506","Simono Konarskio st.","25.25932","54.67947"
"0507","Simono Konarskio st.","25.25964","54.67986"
"0508","Vingis","25.25555","54.67754"
"0509","Vingis","25.25438","54.67719"
"0510","Taraso Ševčenkos st.","25.26718","54.67869"
"0511","Taraso Ševčenkos st.","25.26749","54.67694"
"0512","Švitrigailos st.","25.26792","54.67424"
"0513","Vytenio st.","25.26607","54.67342"
"0514","Vytenio st.","25.26233","54.67185"
"0515","Statybininkų st.","25.25565","54.67274"
"0516","Naugarduko st.","25.25985","54.67042"
"0517","Naujamiestis","25.26121","54.67043"
"0518","Naujamiestis","25.2626","54.67049"
"0519","„Sparta“","25.26847","54.6718"
"0520","„Sparta“","25.26932","54.67262"
"0520a","„Sparta“","25.26938","54.67241"
"0521","„Sparta“","25.27022","54.67191"
"0522","„Sparta“","25.26946","54.6713"
"0522a","„Sparta“","25.26955","54.67111"
"0523","„Lelija“","25.26369","54.66815"
"0524","„Lelija“","25.26598","54.6685"
"0525","Smolensko st.","25.26005","54.66742"
"0526","Smolensko st.","25.25911","54.66714"
"0527","Burbiškės","25.2531","54.66671"
"0527a","Burbiškės","25.25562","54.66644"
"0528","Pelesos st.","25.28921","54.67085"
"0529","Panevėžio st.","25.28368","54.66793"
"0530","Stotis","25.28467","54.67112"
"0530a","Stotis","25.2849","54.67071"
"0530b","Stotis","25.28443","54.6711"
"0530c","Stotis","25.2842","54.67108"
"0530d","Stotis","25.28399","54.67106"
"0530e","Stotis","25.28327","54.67147"
"0530f","Stotis","25.28328","54.67115"
"0530h","Stotis","25.28336","54.67085"
"0530i","Stotis","25.28326","54.67077"
"0530j","Stotis","25.28313","54.67066"
"0530k","Stotis","25.28296","54.67053"
"0530L","Stotis","25.28349","54.67025"
"0530p","Stotis","25.28513","54.67115"
"0530z","Stotis","25.28532","54.6711"
"0531","„Lelija“","25.26711","54.66967"
"0532","Stotis","25.28489","54.6707"
"0535","Migracijos valdyba","25.25833","54.66983"
"0536","Migracijos valdyba","25.2557","54.66815"
"0546","Stotis","25.283","54.6714"
"0547","Stotis(Išlaipinimas)","25.28602","54.67177"
"0548","Stotis (Atstova Šv.Stepono g.)","25.27636","54.66824"
"0601","Žemaitės st.","25.25194","54.67489"
"0602","Savanorių prospektas","25.2484","54.67392"
"0602a","Savanorių prospektas","25.2486","54.67403"
"0603","Savanorių prospektas","25.247","54.6734"
"0603a","Savanorių prospektas","25.24729","54.67355"
"0604","Gerosios Vilties st.","25.244","54.67165"
"0605","Gerosios Vilties st.","25.24237","54.67102"
"0606","Gerosios Vilties st.","25.24196","54.6708"
"0607","Gerosios Vilties st.","25.24159","54.6704"
"0608","Eigulių st.","25.23571","54.66935"
"0609","Vingio parkas","25.23943","54.6728"
"0610","Vingio parkas","25.24199","54.67405"
"0611","Vinco Pietario st.","25.24579","54.67688"
"0612","Statybininkų st.","25.25735","54.67135"
"0613","st.Estrados alėja","25.24898","54.68218"
"0614","st.Estrados alėja","25.24869","54.68222"
"0701","Linkmenų st.","25.26979","54.70487"
"0702","Linkmenų st.","25.27236","54.70453"
"0703","Kalvarijų turgus","25.28249","54.69931"
"0704","Kalvarijų turgus","25.28301","54.70019"
"0705","Žalgirio st.","25.28353","54.70308"
"0706","Žalgirio st.","25.28302","54.7039"
"0707","Giedraičių st.","25.28494","54.70734"
"0707a","Giedraičių st.","25.28508","54.70763"
"0708","Tauragnų st.","25.28625","54.71169"
"0709","Pramogų arena","25.28664","54.71448"
"0710","Licėjus","25.278","54.71294"
"0711","Žalgirio st.","25.28221","54.70378"
"0801","Jono Kazlausko st.","25.28381","54.72241"
"0802","Pramogų arena","25.28694","54.71626"
"0803","Tauragnų st.","25.28672","54.71234"
"0804","Pramogų arena","25.28821","54.71504"
"0805","Pramogų arena","25.28943","54.71556"
"0806","Verkių st.","25.29562","54.71732"
"0807","Verkių st.","25.2936","54.71687"
"0808","Kareivių st.","25.30161","54.71989"
"0809","Kareivių st.","25.30163","54.71967"
"0810","Kareivių st.","25.30393","54.71859"
"0811","Kareivių st.","25.30356","54.71934"
"0812","Kareivių st.","25.30316","54.72062"
"0813","Autobusų parkas","25.29669","54.72216"
"0814","Žirmūnų seniūnija","25.30071","54.7219"
"0815","Žirmūnų seniūnija","25.29994","54.72236"
"0816","Šaltinėlio st.","25.29826","54.72541"
"0817","Šaltinėlio st.","25.29674","54.72657"
"0817a","Žirmūnų žiedas","25.29502","54.72685"
"0818","Žirmūnų  žiedas","25.2971","54.72666"
"0819","Valakampių tiltas","25.30725","54.72356"
"0820","Valakampių tiltas","25.30849","54.72409"
"0821","Žirmūnai","25.30545","54.71666"
"0822","Žirmūnai","25.30509","54.71595"
"0823","Verkių st.","25.29553","54.71843"
"0825","Ozo žiedas","25.2777","54.71465"
"0826","Išlaipinama","25.27796","54.71555"
"0827","Ozo žiedas","25.2773","54.71539"
"0830","Trinapolis","25.29066","54.73161"
"0901","Šiaurės miestelis","25.30509","54.71182"
"0902","Šiaurės miestelis","25.30465","54.71083"
"0903","Minties st.","25.30454","54.70418"
"0904","Minties st.","25.30416","54.70362"
"0905","Tuskulėnų rimties parkas","25.3013","54.69823"
"0906","Tuskulėnų rimties parkas","25.30032","54.69757"
"0907","„Žalgirio“ stadionas","25.28955","54.69497"
"0908","Šeimyniškių st.","25.29616","54.69566"
"0909","Tuskulėnai","25.29706","54.69702"
"0910","Tuskulėnai","25.2967","54.6977"
"0911","Mikalojaus Katkaus st.","25.2929","54.70009"
"0912","Mikalojaus Katkaus st.","25.29246","54.70078"
"0913","Trimitų st.","25.28893","54.70295"
"0914","Broniaus Laurinavičiaus skveras","25.28405","54.70419"
"0915","Žalgirio st.","25.28434","54.70436"
"0916","Giedraičių st.","25.2855","54.70804"
"0917","Apkasų st.","25.29142","54.70394"
"0918","Apkasų st.","25.2927","54.70393"
"0919","Minties st.","25.29864","54.70507"
"0920","Minties st.","25.29968","54.70506"
"0921","Povilo Lukšio st.","25.30239","54.71072"
"0922","Šiaurės miestelis","25.30392","54.71139"
"0923","Povilo Lukšio st.","25.30113","54.71075"
"0924","Šiaurės miestelis","25.29786","54.71152"
"0925","Šiaurės miestelis","25.29938","54.71119"
"0926","Jono Galvydžio st.","25.29233","54.71183"
"0927","Ulonų st.","25.29121","54.70889"
"0928","Ulonų st.","25.291","54.70921"
"1001","Saulėtekis","25.32752","54.72624"
"1002","Gedimino technikos universitetas","25.33451","54.72412"
"1003","Gedimino technikos universitetas","25.33566","54.72385"
"1004","Senoji plytinė","25.33967","54.72403"
"1004a","Senoji plytinė","25.34055","54.72461"
"1005","Senoji plytinė","25.34075","54.72416"
"1006","Plytinės st.","25.34671","54.72762"
"1007","Plytinės st.","25.34778","54.72791"
"1008","Aukštagiris","25.35661","54.73057"
"1009","Dvarčionių kryžkelė","25.37073","54.73347"
"1011","Dvarčionys","25.37052","54.72972"
"1012","Keramikų st.","25.37465","54.72949"
"1013","Keramikų st.","25.37489","54.72956"
"1014","Baniškės","25.38833","54.73453"
"1015","Kairėnai","25.40082","54.73625"
"1016","Paliuliškės","25.41033","54.73365"
"1017","Paliuliškės","25.41064","54.73315"
"1018","Lubinų st.","25.41217","54.72959"
"1019","Rokantiškės","25.36406","54.70411"
"1020","Vakario st.","25.4124","54.71359"
"1021","Saulėtekis","25.32671","54.72719"
"1022","Vilniaus universitetas","25.33134","54.72489"
"1023","Vilniaus universitetas","25.33199","54.72454"
"1024","Lubinų st.","25.41189","54.72898"
"1025","Purienų st.","25.41212","54.72529"
"1026","Dvarčionys","25.37033","54.72986"
"1027","Keramikų st.","25.37476","54.72937"
"1028","Senoji plytinė(išlaipinimas)","25.34072","54.72493"
"1030","Klonio st.","25.37112","54.70586"
"1031","Klonio st.","25.371","54.70582"
"1032","Juodvarnių st.","25.37632","54.72255"
"1033","Juodvarnių st.","25.37637","54.72228"
"1034","Stanislovo Kerbedžio st.","25.37415","54.72065"
"1036","Stanislovo Kerbedžio st.","25.37309","54.72063"
"1038","Stepono Kairio st.","25.37036","54.72085"
"1039","Stepono Kairio st.","25.36923","54.72081"
"1040","Moliakalnio st.","25.35519","54.71583"
"1042","Moliakalnio st.","25.35526","54.71578"
"1043","Pylimėliai","25.35994","54.71888"
"1045","Pylimėliai","25.35947","54.71845"
"1046","Duburio st.","25.39168","54.70728"
"1101","Krivių st.","25.30531","54.68802"
"1102","Vasaros st.","25.30503","54.69122"
"1103","Leono Sapiegos st.","25.30809","54.6963"
"1104","Leono Sapiegos st.","25.30873","54.69697"
"1105","Petro Vileišio st.","25.30922","54.70165"
"1106","Petro Vileišio st.","25.31002","54.70313"
"1107","Šilo tiltas","25.31024","54.70447"
"1108","Šilo tiltas","25.31096","54.70545"
"1109","Klinikų st.","25.31437","54.71058"
"1110","Klinikų st.","25.31486","54.71125"
"1110a","Klinikų st.","25.31498","54.71124"
"1111","Klinikų st.","25.31669","54.71134"
"1112","Klinikų st.","25.31573","54.71161"
"1113","Tverečiaus st.","25.31646","54.71619"
"1114","Tverečiaus st.","25.31659","54.7175"
"1115","Antakalnis","25.31724","54.7196"
"1116","Antakalnis","25.31821","54.72106"
"1117","Nemenčinės plentas","25.32007","54.72385"
"1118","Antakalnio žiedas","25.31872","54.72291"
"1118a","Antakalnio žiedas","25.31887","54.72232"
"1118b","Antakalnio žiedas","25.31885","54.72265"
"1118c","Antakalnio žiedas","25.31912","54.72274"
"1119","Nemenčinės plentas","25.32004","54.72278"
"1121","Lizdeikos st.","25.31552","54.72728"
"1122","Saulėtekis","25.32482","54.72622"
